,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Sales,InvoiceYear,InvoiceMonth,InvoiceDay,InvoiceTime,DayOfWeek,InvoiceHour,DayPeriod
23,536597,72803A,ROSE SCENT CANDLE JEWELLED DRAWER,1,2010-12-01 17:35:00,4.25,18011,United Kingdom,4.25,2010,12,1,17:35:00,Wednesday,17,Afternoon
24,536605,21172,PARTY METAL SIGN ,12,2010-12-02 08:52:00,1.45,13715,United Kingdom,17.4,2010,12,2,08:52:00,Thursday,8,Morning
25,536620,21722,SWEET PUDDING STICKER SHEET,12,2010-12-02 10:27:00,0.85,14135,United Kingdom,10.2,2010,12,2,10:27:00,Thursday,10,Morning
26,536637,22731,3D CHRISTMAS STAMPS STICKERS ,4,2010-12-02 11:35:00,1.25,18041,United Kingdom,5.0,2010,12,2,11:35:00,Thursday,11,Morning
27,536643,85099B,JUMBO BAG RED RETROSPOT,3,2010-12-02 11:57:00,1.95,14390,United Kingdom,5.85,2010,12,2,11:57:00,Thursday,11,Morning
28,536674,22131,FOOD CONTAINER SET 3 LOVE HEART ,1,2010-12-02 12:16:00,1.95,15923,United Kingdom,1.95,2010,12,2,12:16:00,Thursday,12,Morning
29,536685,84029E,RED WOOLLY HOTTIE WHITE HEART.,8,2010-12-02 12:23:00,3.39,17850,United Kingdom,27.12,2010,12,2,12:23:00,Thursday,12,Morning
30,536742,22505,MEMO BOARD COTTAGE DESIGN,1,2010-12-02 13:14:00,4.95,16916,United Kingdom,4.95,2010,12,2,13:14:00,Thursday,13,Afternoon
31,536743,22983,CARD BILLBOARD FONT,12,2010-12-02 13:32:00,0.42,17964,United Kingdom,5.04,2010,12,2,13:32:00,Thursday,13,Afternoon
32,536749,22441,GROW YOUR OWN BASIL IN ENAMEL MUG,1,2010-12-02 13:49:00,2.1,17976,United Kingdom,2.1,2010,12,2,13:49:00,Thursday,13,Afternoon
33,536769,21210,SET OF 72 RETROSPOT PAPER  DOILIES,24,2010-12-02 14:47:00,1.45,17581,United Kingdom,34.8,2010,12,2,14:47:00,Thursday,14,Afternoon
34,536769,22862,LOVE HEART NAPKIN BOX ,4,2010-12-02 14:47:00,4.25,17581,United Kingdom,17.0,2010,12,2,14:47:00,Thursday,14,Afternoon
35,536782,21533,RETROSPOT LARGE MILK JUG,6,2010-12-02 15:18:00,4.95,17567,United Kingdom,29.700000000000003,2010,12,2,15:18:00,Thursday,15,Afternoon
36,536782,21669,BLUE STRIPE CERAMIC DRAWER KNOB,12,2010-12-02 15:18:00,1.25,17567,United Kingdom,15.0,2010,12,2,15:18:00,Thursday,15,Afternoon
41,536796,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2010-12-02 15:46:00,1.69,15574,United Kingdom,1.69,2010,12,2,15:46:00,Thursday,15,Afternoon
42,536799,85099B,JUMBO BAG RED RETROSPOT,3,2010-12-02 16:00:00,1.95,17228,United Kingdom,5.85,2010,12,2,16:00:00,Thursday,16,Afternoon
43,536823,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2010-12-02 17:22:00,2.95,13011,United Kingdom,17.700000000000003,2010,12,2,17:22:00,Thursday,17,Afternoon
44,536837,85049A,TRADITIONAL CHRISTMAS RIBBONS,6,2010-12-02 18:15:00,1.25,14395,United Kingdom,7.5,2010,12,2,18:15:00,Thursday,18,Afternoon
45,536841,21260,FIRST AID TIN,6,2010-12-02 18:27:00,3.25,16150,United Kingdom,19.5,2010,12,2,18:27:00,Thursday,18,Afternoon
46,536845,21891,TRADITIONAL WOODEN SKIPPING ROPE,1,2010-12-02 19:18:00,1.25,17961,United Kingdom,1.25,2010,12,2,19:18:00,Thursday,19,Evening
49,536874,22632,HAND WARMER RED RETROSPOT,1,2010-12-03 11:35:00,2.1,16891,United Kingdom,2.1,2010,12,3,11:35:00,Friday,11,Morning
50,536874,22810,SET OF 6 T-LIGHTS SNOWMEN,1,2010-12-03 11:35:00,2.95,16891,United Kingdom,2.95,2010,12,3,11:35:00,Friday,11,Morning
52,536973,82583,HOT BATHS METAL SIGN,12,2010-12-03 13:43:00,2.1,17787,United Kingdom,25.200000000000003,2010,12,3,13:43:00,Friday,13,Afternoon
53,536975,22704,WRAP RED APPLES ,25,2010-12-03 14:04:00,0.42,14911,EIRE,10.5,2010,12,3,14:04:00,Friday,14,Afternoon
54,536984,82616C,MIDNIGHT GLAMOUR SCARF KNITTING KIT,1,2010-12-03 14:35:00,2.95,17841,United Kingdom,2.95,2010,12,3,14:35:00,Friday,14,Afternoon
55,536985,22113,GREY HEART HOT WATER BOTTLE,4,2010-12-03 14:40:00,3.75,15373,United Kingdom,15.0,2010,12,3,14:40:00,Friday,14,Afternoon
56,536987,22753,SMALL YELLOW BABUSHKA NOTEBOOK ,1,2010-12-03 14:54:00,0.85,17198,United Kingdom,0.85,2010,12,3,14:54:00,Friday,14,Afternoon
57,536987,47503H,ASS FLORAL PRINT SPIRIT LEVEL ,1,2010-12-03 14:54:00,1.95,17198,United Kingdom,1.95,2010,12,3,14:54:00,Friday,14,Afternoon
58,536989,72807B,SET/3 OCEAN SCENT CANDLE JEWEL BOX,2,2010-12-03 15:10:00,4.25,17238,United Kingdom,8.5,2010,12,3,15:10:00,Friday,15,Afternoon
59,537030,20972,PINK CREAM FELT CRAFT TRINKET BOX ,12,2010-12-03 16:44:00,1.25,16455,United Kingdom,15.0,2010,12,3,16:44:00,Friday,16,Afternoon
60,537042,22327,ROUND SNACK BOXES SET OF 4 SKULLS,1,2010-12-05 10:45:00,2.95,13838,United Kingdom,2.95,2010,12,5,10:45:00,Sunday,10,Morning
61,537042,22666,RECIPE BOX PANTRY YELLOW DESIGN,1,2010-12-05 10:45:00,2.95,13838,United Kingdom,2.95,2010,12,5,10:45:00,Sunday,10,Morning
63,537051,22730,ALARM CLOCK BAKELIKE IVORY,1,2010-12-05 11:12:00,3.75,15708,United Kingdom,3.75,2010,12,5,11:12:00,Sunday,11,Morning
64,537054,22739,RIBBON REEL CHRISTMAS SOCK BAUBLE,1,2010-12-05 11:40:00,1.65,16931,United Kingdom,1.65,2010,12,5,11:40:00,Sunday,11,Morning
65,537058,22966,GINGERBREAD MAN COOKIE CUTTER,12,2010-12-05 11:51:00,1.25,13269,United Kingdom,15.0,2010,12,5,11:51:00,Sunday,11,Morning
66,537058,82552,WASHROOM METAL SIGN,12,2010-12-05 11:51:00,1.45,13269,United Kingdom,17.4,2010,12,5,11:51:00,Sunday,11,Morning
67,537126,20973,12 PENCIL SMALL TUBE WOODLAND,1,2010-12-05 12:13:00,0.65,18118,United Kingdom,0.65,2010,12,5,12:13:00,Sunday,12,Morning
68,537126,84536B,FAIRY CAKES NOTEBOOK A7 SIZE,1,2010-12-05 12:13:00,0.42,18118,United Kingdom,0.42,2010,12,5,12:13:00,Sunday,12,Morning
69,537133,21210,SET OF 72 RETROSPOT PAPER  DOILIES,1,2010-12-05 12:29:00,1.45,18156,United Kingdom,1.45,2010,12,5,12:29:00,Sunday,12,Morning
70,537135,22536,MAGIC DRAWING SLATE PURDEY,3,2010-12-05 12:35:00,0.42,17059,United Kingdom,1.26,2010,12,5,12:35:00,Sunday,12,Morning
71,537135,22733,3D TRADITIONAL CHRISTMAS STICKERS,2,2010-12-05 12:35:00,1.25,17059,United Kingdom,2.5,2010,12,5,12:35:00,Sunday,12,Morning
72,537135,84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,3,2010-12-05 12:35:00,2.95,17059,United Kingdom,8.850000000000001,2010,12,5,12:35:00,Sunday,12,Morning
73,537136,21982,PACK OF 12 SUKI TISSUES ,12,2010-12-05 12:42:00,0.29,12748,United Kingdom,3.4799999999999995,2010,12,5,12:42:00,Sunday,12,Morning
74,537137,20727,LUNCH BAG  BLACK SKULL.,2,2010-12-05 12:43:00,1.65,16327,United Kingdom,3.3,2010,12,5,12:43:00,Sunday,12,Morning
76,537137,22494,EMERGENCY FIRST AID TIN ,6,2010-12-05 12:43:00,1.25,16327,United Kingdom,7.5,2010,12,5,12:43:00,Sunday,12,Morning
77,537137,82578,KITCHEN METAL SIGN,4,2010-12-05 12:43:00,0.55,16327,United Kingdom,2.2,2010,12,5,12:43:00,Sunday,12,Morning
78,537137,84971S,SMALL HEART FLOWERS HOOK ,9,2010-12-05 12:43:00,0.85,16327,United Kingdom,7.6499999999999995,2010,12,5,12:43:00,Sunday,12,Morning
79,537138,22736,RIBBON REEL MAKING SNOWMEN ,3,2010-12-05 12:44:00,1.65,17211,United Kingdom,4.949999999999999,2010,12,5,12:44:00,Sunday,12,Morning
80,537141,22725,ALARM CLOCK BAKELIKE CHOCOLATE,3,2010-12-05 12:57:00,3.75,15570,United Kingdom,11.25,2010,12,5,12:57:00,Sunday,12,Morning
81,537144,21110,LARGE CAKE TOWEL PINK SPOTS,1,2010-12-05 13:00:00,6.75,15880,United Kingdom,6.75,2010,12,5,13:00:00,Sunday,13,Afternoon
82,537144,21563,RED HEART SHAPE LOVE BUCKET ,2,2010-12-05 13:00:00,2.95,15880,United Kingdom,5.9,2010,12,5,13:00:00,Sunday,13,Afternoon
83,537144,22412,METAL SIGN NEIGHBOURHOOD WITCH ,1,2010-12-05 13:00:00,2.1,15880,United Kingdom,2.1,2010,12,5,13:00:00,Sunday,13,Afternoon
84,537144,22633,HAND WARMER UNION JACK,2,2010-12-05 13:00:00,2.1,15880,United Kingdom,4.2,2010,12,5,13:00:00,Sunday,13,Afternoon
85,537153,21918,SET 12 KIDS COLOUR  CHALK STICKS,17,2010-12-05 13:03:00,0.42,16718,United Kingdom,7.14,2010,12,5,13:03:00,Sunday,13,Afternoon
86,537159,35598B,BLACK CHRISTMAS TREE 60CM,1,2010-12-05 13:17:00,2.95,14527,United Kingdom,2.95,2010,12,5,13:17:00,Sunday,13,Afternoon
87,537192,22098,BOUDOIR SQUARE TISSUE BOX,2,2010-12-05 13:42:00,1.25,16402,United Kingdom,2.5,2010,12,5,13:42:00,Sunday,13,Afternoon
88,537195,85035B,CHOCOLATE 3 WICK MORRIS BOX CANDLE,1,2010-12-05 13:55:00,4.25,15311,United Kingdom,4.25,2010,12,5,13:55:00,Sunday,13,Afternoon
89,537199,22482,BLUE TEA TOWEL CLASSIC DESIGN,2,2010-12-05 14:06:00,1.25,15894,United Kingdom,2.5,2010,12,5,14:06:00,Sunday,14,Afternoon
90,537202,20969,RED FLORAL FELTCRAFT SHOULDER BAG,1,2010-12-05 14:25:00,3.75,14506,United Kingdom,3.75,2010,12,5,14:25:00,Sunday,14,Afternoon
91,537204,21802,CHRISTMAS TREE HEART DECORATION,15,2010-12-05 14:45:00,0.42,15555,United Kingdom,6.3,2010,12,5,14:45:00,Sunday,14,Afternoon
92,537209,21115,ROSE CARAVAN DOORSTOP,1,2010-12-05 15:12:00,6.75,14606,United Kingdom,6.75,2010,12,5,15:12:00,Sunday,15,Afternoon
93,537209,21467,CHERRY CROCHET FOOD COVER,1,2010-12-05 15:12:00,3.75,14606,United Kingdom,3.75,2010,12,5,15:12:00,Sunday,15,Afternoon
94,537209,21616,4 PEAR BOTANICAL DINNER CANDLES,4,2010-12-05 15:12:00,3.75,14606,United Kingdom,15.0,2010,12,5,15:12:00,Sunday,15,Afternoon
96,537224,22632,HAND WARMER RED RETROSPOT,1,2010-12-05 16:24:00,2.1,13174,United Kingdom,2.1,2010,12,5,16:24:00,Sunday,16,Afternoon
97,537226,22052,VINTAGE CARAVAN GIFT WRAP,25,2010-12-06 08:34:00,0.42,15987,United Kingdom,10.5,2010,12,6,08:34:00,Monday,8,Morning
98,537236,21531,RED RETROSPOT SUGAR JAM BOWL,24,2010-12-06 09:52:00,2.1,16858,United Kingdom,50.400000000000006,2010,12,6,09:52:00,Monday,9,Morning
99,537236,22073,RED RETROSPOT STORAGE JAR,16,2010-12-06 09:52:00,3.39,16858,United Kingdom,54.24,2010,12,6,09:52:00,Monday,9,Morning
100,537243,22866,HAND WARMER SCOTTY DOG DESIGN,12,2010-12-06 10:19:00,2.1,16638,United Kingdom,25.200000000000003,2010,12,6,10:19:00,Monday,10,Morning
101,537254,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,1,2010-12-06 11:01:00,0.85,15898,United Kingdom,0.85,2010,12,6,11:01:00,Monday,11,Morning
102,537257,84744,S/6 SEW ON CROCHET FLOWERS,12,2010-12-06 11:10:00,1.25,17691,United Kingdom,15.0,2010,12,6,11:10:00,Monday,11,Morning
104,537359,22784,LANTERN CREAM GAZEBO ,3,2010-12-06 12:30:00,4.95,14825,United Kingdom,14.850000000000001,2010,12,6,12:30:00,Monday,12,Morning
105,537366,22150,3 STRIPEY MICE FELTCRAFT,4,2010-12-06 12:39:00,1.95,14085,United Kingdom,7.8,2010,12,6,12:39:00,Monday,12,Morning
106,537369,21692,SILVER LATTICE VANILLA CANDLE POT,1,2010-12-06 12:41:00,3.75,17860,United Kingdom,3.75,2010,12,6,12:41:00,Monday,12,Morning
107,537369,22940,FELTCRAFT CHRISTMAS FAIRY,1,2010-12-06 12:41:00,4.25,17860,United Kingdom,4.25,2010,12,6,12:41:00,Monday,12,Morning
108,537375,21975,PACK OF 60 DINOSAUR CAKE CASES,6,2010-12-06 12:55:00,0.55,17019,United Kingdom,3.3000000000000003,2010,12,6,12:55:00,Monday,12,Morning
109,537382,21744,SNOWFLAKE PORTABLE TABLE LIGHT ,4,2010-12-06 13:13:00,2.95,16710,United Kingdom,11.8,2010,12,6,13:13:00,Monday,13,Afternoon
110,537382,21817,GLITTER CHRISTMAS TREE,3,2010-12-06 13:13:00,0.85,16710,United Kingdom,2.55,2010,12,6,13:13:00,Monday,13,Afternoon
111,537382,35953,FOLKART STAR CHRISTMAS DECORATIONS,1,2010-12-06 13:13:00,1.25,16710,United Kingdom,1.25,2010,12,6,13:13:00,Monday,13,Afternoon
112,537391,21098,CHRISTMAS TOILET ROLL,9,2010-12-06 13:53:00,1.25,16550,United Kingdom,11.25,2010,12,6,13:53:00,Monday,13,Afternoon
113,537391,22952,60 CAKE CASES VINTAGE CHRISTMAS,8,2010-12-06 13:53:00,0.55,16550,United Kingdom,4.4,2010,12,6,13:53:00,Monday,13,Afternoon
114,537400,22956,36 FOIL HEART CAKE CASES,1,2010-12-06 14:36:00,2.1,17191,United Kingdom,2.1,2010,12,6,14:36:00,Monday,14,Afternoon
115,537418,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,1,2010-12-06 15:13:00,2.95,17884,United Kingdom,2.95,2010,12,6,15:13:00,Monday,15,Afternoon
116,537419,21730,GLASS STAR FROSTED T-LIGHT HOLDER,9,2010-12-06 15:14:00,4.95,13495,United Kingdom,44.550000000000004,2010,12,6,15:14:00,Monday,15,Afternoon
117,537421,22186,RED STAR CARD HOLDER,2,2010-12-06 15:25:00,2.95,17218,United Kingdom,5.9,2010,12,6,15:25:00,Monday,15,Afternoon
118,537421,22570,FELTCRAFT CUSHION RABBIT,2,2010-12-06 15:25:00,3.75,17218,United Kingdom,7.5,2010,12,6,15:25:00,Monday,15,Afternoon
119,537429,21915,RED  HARMONICA IN BOX ,10,2010-12-06 15:54:00,1.25,12748,United Kingdom,12.5,2010,12,6,15:54:00,Monday,15,Afternoon
120,537429,22535,MAGIC DRAWING SLATE BUNNIES ,2,2010-12-06 15:54:00,0.42,12748,United Kingdom,0.84,2010,12,6,15:54:00,Monday,15,Afternoon
121,537440,21617,4 LILY  BOTANICAL DINNER CANDLES,12,2010-12-06 17:16:00,3.75,17869,United Kingdom,45.0,2010,12,6,17:16:00,Monday,17,Afternoon
122,537441,22114,HOT WATER BOTTLE TEA AND SYMPATHY,1,2010-12-06 17:26:00,3.95,13564,United Kingdom,3.95,2010,12,6,17:26:00,Monday,17,Afternoon
123,537446,72741,GRAND CHOCOLATECANDLE,18,2010-12-07 09:13:00,1.45,18055,United Kingdom,26.099999999999998,2010,12,7,09:13:00,Tuesday,9,Morning
124,537603,22158,3 HEARTS HANGING DECORATION RUSTIC,8,2010-12-07 12:49:00,2.95,14673,United Kingdom,23.6,2010,12,7,12:49:00,Tuesday,12,Morning
125,537604,22514,CHILDS GARDEN SPADE BLUE,6,2010-12-07 13:01:00,2.1,13488,United Kingdom,12.600000000000001,2010,12,7,13:01:00,Tuesday,13,Afternoon
126,537604,37446,MINI CAKE STAND WITH HANGING CAKES,8,2010-12-07 13:01:00,1.45,13488,United Kingdom,11.6,2010,12,7,13:01:00,Tuesday,13,Afternoon
127,537606,22077,6 RIBBONS RUSTIC CHARM,8,2010-12-07 13:16:00,1.65,15002,United Kingdom,13.2,2010,12,7,13:16:00,Tuesday,13,Afternoon
128,537607,22952,60 CAKE CASES VINTAGE CHRISTMAS,6,2010-12-07 13:18:00,0.55,15965,United Kingdom,3.3000000000000003,2010,12,7,13:18:00,Tuesday,13,Afternoon
129,537608,21868,POTTING SHED TEA MUG,3,2010-12-07 13:20:00,1.25,15024,United Kingdom,3.75,2010,12,7,13:20:00,Tuesday,13,Afternoon
130,537608,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,3,2010-12-07 13:20:00,3.75,15024,United Kingdom,11.25,2010,12,7,13:20:00,Tuesday,13,Afternoon
131,537612,22470,HEART OF WICKER LARGE,6,2010-12-07 13:28:00,2.95,13769,United Kingdom,17.700000000000003,2010,12,7,13:28:00,Tuesday,13,Afternoon
132,537619,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,12,2010-12-07 13:53:00,0.95,13786,United Kingdom,11.399999999999999,2010,12,7,13:53:00,Tuesday,13,Afternoon
133,537626,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,2010-12-07 14:57:00,4.25,12347,Iceland,25.5,2010,12,7,14:57:00,Tuesday,14,Afternoon
134,537653,84596J,MIXED NUTS LIGHT GREEN BOWL,1,2010-12-07 15:54:00,1.25,17897,United Kingdom,1.25,2010,12,7,15:54:00,Tuesday,15,Afternoon
138,537673,85049E,SCANDINAVIAN REDS RIBBONS,24,2010-12-08 09:49:00,1.25,12709,Germany,30.0,2010,12,8,09:49:00,Wednesday,9,Morning
139,537738,22113,GREY HEART HOT WATER BOTTLE,4,2010-12-08 11:02:00,3.75,17706,United Kingdom,15.0,2010,12,8,11:02:00,Wednesday,11,Morning
141,537765,20780,BLACK EAR MUFF HEADPHONES,2,2010-12-08 12:08:00,5.49,14606,United Kingdom,10.98,2010,12,8,12:08:00,Wednesday,12,Morning
142,537769,85020,ROUND PINK HEART MIRROR,2,2010-12-08 12:17:00,2.1,15021,United Kingdom,4.2,2010,12,8,12:17:00,Wednesday,12,Morning
143,537773,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,2,2010-12-08 12:36:00,2.95,16016,United Kingdom,5.9,2010,12,8,12:36:00,Wednesday,12,Morning
144,537773,22469,HEART OF WICKER SMALL,4,2010-12-08 12:36:00,1.65,16016,United Kingdom,6.6,2010,12,8,12:36:00,Wednesday,12,Morning
145,537775,21830,ASSORTED CREEPY CRAWLIES,24,2010-12-08 12:41:00,0.42,17722,United Kingdom,10.08,2010,12,8,12:41:00,Wednesday,12,Morning
146,537804,M,Manual,12,2010-12-08 13:17:00,2.95,12748,United Kingdom,35.400000000000006,2010,12,8,13:17:00,Wednesday,13,Afternoon
147,537818,71496A,A4 WALL TIDY BLUE OFFICE,12,2010-12-08 13:53:00,0.65,12766,Portugal,7.800000000000001,2010,12,8,13:53:00,Wednesday,13,Afternoon
148,537825,22131,FOOD CONTAINER SET 3 LOVE HEART ,4,2010-12-08 14:36:00,1.95,15005,United Kingdom,7.8,2010,12,8,14:36:00,Wednesday,14,Afternoon
149,537825,22198,LARGE POPCORN HOLDER ,2,2010-12-08 14:36:00,1.65,15005,United Kingdom,3.3,2010,12,8,14:36:00,Wednesday,14,Afternoon
150,537828,21810,CHRISTMAS HANGING STAR WITH BELL,12,2010-12-08 14:43:00,1.25,15680,United Kingdom,15.0,2010,12,8,14:43:00,Wednesday,14,Afternoon
151,537828,22639,SET OF 4 NAPKIN CHARMS HEARTS,12,2010-12-08 14:43:00,2.55,15680,United Kingdom,30.599999999999998,2010,12,8,14:43:00,Wednesday,14,Afternoon
152,537829,22358,KINGS CHOICE TEA CADDY ,6,2010-12-08 14:46:00,2.95,15498,United Kingdom,17.700000000000003,2010,12,8,14:46:00,Wednesday,14,Afternoon
153,537829,22569,FELTCRAFT CUSHION BUTTERFLY,4,2010-12-08 14:46:00,3.75,15498,United Kingdom,15.0,2010,12,8,14:46:00,Wednesday,14,Afternoon
155,537852,21849,SILVER DIAMANTE PEN IN GIFT BOX,12,2010-12-08 15:56:00,4.95,17340,United Kingdom,59.400000000000006,2010,12,8,15:56:00,Wednesday,15,Afternoon
157,537868,22534,MAGIC DRAWING SLATE SPACEBOY ,24,2010-12-08 16:49:00,0.42,12433,Norway,10.08,2010,12,8,16:49:00,Wednesday,16,Afternoon
159,537868,84991,60 TEATIME FAIRY CAKE CASES,24,2010-12-08 16:49:00,0.55,12433,Norway,13.200000000000001,2010,12,8,16:49:00,Wednesday,16,Afternoon
160,537871,22703,PINK CAT BOWL,1,2010-12-08 17:20:00,2.1,12748,United Kingdom,2.1,2010,12,8,17:20:00,Wednesday,17,Afternoon
161,537879,85150,LADIES & GENTLEMEN METAL SIGN,6,2010-12-09 08:34:00,2.55,14243,United Kingdom,15.299999999999999,2010,12,9,08:34:00,Thursday,8,Morning
162,537880,22114,HOT WATER BOTTLE TEA AND SYMPATHY,8,2010-12-09 09:14:00,3.95,12963,United Kingdom,31.6,2010,12,9,09:14:00,Thursday,9,Morning
163,537888,22454,MEASURING TAPE BABUSHKA RED,6,2010-12-09 10:04:00,2.95,15358,United Kingdom,17.700000000000003,2010,12,9,10:04:00,Thursday,10,Morning
164,537889,79321,CHILLI LIGHTS,4,2010-12-09 10:04:00,4.95,13319,United Kingdom,19.8,2010,12,9,10:04:00,Thursday,10,Morning
169,537995,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6,2010-12-09 11:39:00,2.55,12712,Germany,15.299999999999999,2010,12,9,11:39:00,Thursday,11,Morning
170,538008,21154,RED RETROSPOT OVEN GLOVE ,10,2010-12-09 12:17:00,1.25,12683,France,12.5,2010,12,9,12:17:00,Thursday,12,Morning
171,538011,21870,I CAN ONLY PLEASE ONE PERSON MUG,12,2010-12-09 12:24:00,1.25,14896,United Kingdom,15.0,2010,12,9,12:24:00,Thursday,12,Morning
172,538014,72807C,SET/3 VANILLA SCENTED CANDLE IN BOX,12,2010-12-09 12:49:00,4.25,14440,United Kingdom,51.0,2010,12,9,12:49:00,Thursday,12,Morning
173,538015,21745,GAOLERS KEYS DECORATIVE GARDEN ,3,2010-12-09 12:49:00,3.75,13240,United Kingdom,11.25,2010,12,9,12:49:00,Thursday,12,Morning
174,538051,21098,CHRISTMAS TOILET ROLL,3,2010-12-09 13:24:00,1.25,18041,United Kingdom,3.75,2010,12,9,13:24:00,Thursday,13,Afternoon
175,538069,22961,JAM MAKING SET PRINTED,5,2010-12-09 14:08:00,1.45,16795,United Kingdom,7.25,2010,12,9,14:08:00,Thursday,14,Afternoon
176,538093,22197,SMALL POPCORN HOLDER,12,2010-12-09 14:49:00,0.85,12682,France,10.2,2010,12,9,14:49:00,Thursday,14,Afternoon
178,538097,22560,TRADITIONAL MODELLING CLAY,24,2010-12-09 14:56:00,1.25,15192,United Kingdom,30.0,2010,12,9,14:56:00,Thursday,14,Afternoon
179,538104,21696,SMALL SILVER TRELLIS CANDLEPOT,6,2010-12-09 15:16:00,2.95,17950,United Kingdom,17.700000000000003,2010,12,9,15:16:00,Thursday,15,Afternoon
180,538104,22747,POPPY'S PLAYHOUSE BATHROOM,2,2010-12-09 15:16:00,2.1,17950,United Kingdom,4.2,2010,12,9,15:16:00,Thursday,15,Afternoon
181,538155,22117,METAL SIGN HER DINNER IS SERVED ,1,2010-12-09 16:52:00,2.95,16907,United Kingdom,2.95,2010,12,9,16:52:00,Thursday,16,Afternoon
182,538155,37333,"RETRO ""TEA FOR ONE"" ",1,2010-12-09 16:52:00,4.95,16907,United Kingdom,4.95,2010,12,9,16:52:00,Thursday,16,Afternoon
183,538163,20966,SANDWICH BATH SPONGE,2,2010-12-09 17:27:00,1.25,17841,United Kingdom,2.5,2010,12,9,17:27:00,Thursday,17,Afternoon
